Z,symbol,basis_level,external_E_over_h_PHz,mean_envelope_pm,rms_envelope_pm,r90_pm,relaxed_removal_PHz,relaxed_static_chi,frozen_static_chi,basis_chi_difference_percent,spin_squared,orbital_L_squared,specified_2Ms,SCF_gradient,direct_integral_energy_difference_Estar
66,Dy,3,-79965.43614512031,35.664197145289556,59.370253552044,78.44497056776622,1.175261973075277,208.91858158543582,143.37355673325288,-0.14074114510687075,6.0097656741764816,28.028053390180446,4,4.0077031709360746e-07,-0.00017411897715646774
67,Ho,3,-82986.3562898229,35.10638207130681,58.34990232243878,76.84189397987764,1.1916942072712466,200.7995167029632,138.21034097704236,-0.13730619957177392,3.7557390601449754,34.029890258693115,3,1.4539558731314196e-06,-9.718981164041907e-05
68,Er,3,-86079.0876634252,34.56708422778614,57.35830192824141,75.32469030298265,1.2089347546107192,192.99593155740604,133.1561079995015,-0.12952973447606375,2.003844538564252,23.926152353596535,2,1.2800369257715223e-06,1.360019996354822e-05
69,Tm,3,-89245.17319454599,34.03918064187441,56.39814264349134,73.85188783471438,1.2255588120500052,185.73033346818897,128.38293626639563,-0.11755176247204568,0.7513671993726518,12.020553459471955,1,3.613738093448169e-07,0.00011746873497031629
70,Yb,3,-92485.65760070592,33.52383435711212,55.47398293739987,72.4204562299444,1.241555659048555,179.13006482744368,123.97741284602364,-0.12637966925792554,-1.4210854715202004e-14,-5.684341886080802e-14,0,1.250627904156689e-06,0.00023856511324993335
71,Lu,3,-95801.32716759639,33.47413256040374,54.856568686535155,72.85554779786351,1.083141379734983,67.94878554174073,106.96382609973955,-6.31554883681853,0.8096057327760349,6.213658594831429,1,1.8148319900792842e-06,-0.0003259238219470717
72,Hf,3,-99191.75717442024,33.260955844054095,53.88638168740983,73.472849830941,1.3721276196150138,127.13805628548641,92.91588961059882,0.5836013201830914,2.052895491843991,10.135017076591112,2,1.0705517307217733e-06,-0.0002999180906044785
73,Ta,3,-102657.96634389163,33.01787635653602,52.99533712843416,74.06801475219892,1.3879444580836067,109.67012840246802,83.7369702066912,0.6071680731734697,3.7804362434410024,12.043026750284241,3,7.679655300509312e-07,-0.0001513175702712033
74,W,3,-106200.78382923634,32.731943524190456,52.013630624499704,74.51541766937862,1.4238441638116743,101.54428219317809,74.97781611294162,0.8231447353749255,6.0405229410159365,6.1042706129630915,4,1.4739469826381545e-07,-1.4004586773808114e-05
75,Re,3,-109821.42161438745,32.45185443010737,51.1771000188326,74.7107975800261,1.4337780228833463,95.83452139026842,69.48045648266869,0.8115248270463393,8.807187670953766,-1.1368683772161603e-13,5,4.5498813293777747e-07,0.00013700239287572913
