Z,symbol,name,A,depth,pattern,ratio,depth_fraction
91,Pa,Protactinium,231,140,91,1.5384615384615384615384615384615384615384615384615384615384615384615384615384615,0.60606060606060606060606060606060606060606060606060606060606060606060606060606061
92,U,Uranium,238,146,92,1.5869565217391304347826086956521739130434782608695652173913043478260869565217391,0.61344537815126050420168067226890756302521008403361344537815126050420168067226891
93,Np,Neptunium,237,144,93,1.5483870967741935483870967741935483870967741935483870967741935483870967741935484,0.60759493670886075949367088607594936708860759493670886075949367088607594936708861
94,Pu,Plutonium,244,150,94,1.5957446808510638297872340425531914893617021276595744680851063829787234042553191,0.61475409836065573770491803278688524590163934426229508196721311475409836065573770
95,Am,Americium,243,148,95,1.5578947368421052631578947368421052631578947368421052631578947368421052631578947,0.60905349794238683127572016460905349794238683127572016460905349794238683127572016
96,Cm,Curium,247,151,96,1.5729166666666666666666666666666666666666666666666666666666666666666666666666667,0.61133603238866396761133603238866396761133603238866396761133603238866396761133603
97,Bk,Berkelium,247,150,97,1.5463917525773195876288659793814432989690721649484536082474226804123711340206186,0.60728744939271255060728744939271255060728744939271255060728744939271255060728745
98,Cf,Californium,251,153,98,1.5612244897959183673469387755102040816326530612244897959183673469387755102040816,0.60956175298804780876494023904382470119521912350597609561752988047808764940239044
99,Es,Einsteinium,252,153,99,1.5454545454545454545454545454545454545454545454545454545454545454545454545454545,0.60714285714285714285714285714285714285714285714285714285714285714285714285714286
100,Fm,Fermium,257,157,100,1.57,0.61089494163424124513618677042801556420233463035019455252918287937743190661478599
101,Md,Mendelevium,258,157,101,1.5544554455445544554455445544554455445544554455445544554455445544554455445544554,0.60852713178294573643410852713178294573643410852713178294573643410852713178294574
102,No,Nobelium,259,157,102,1.5392156862745098039215686274509803921568627450980392156862745098039215686274510,0.60617760617760617760617760617760617760617760617760617760617760617760617760617761
103,Lr,Lawrencium,266,163,103,1.5825242718446601941747572815533980582524271844660194174757281553398058252427184,0.61278195488721804511278195488721804511278195488721804511278195488721804511278195
104,Rf,Rutherfordium,267,163,104,1.5673076923076923076923076923076923076923076923076923076923076923076923076923077,0.61048689138576779026217228464419475655430711610486891385767790262172284644194757
105,Db,Dubnium,268,163,105,1.5523809523809523809523809523809523809523809523809523809523809523809523809523810,0.60820895522388059701492537313432835820895522388059701492537313432835820895522388
106,Sg,Seaborgium,269,163,106,1.5377358490566037735849056603773584905660377358490566037735849056603773584905660,0.60594795539033457249070631970260223048327137546468401486988847583643122676579926
107,Bh,Bohrium,270,163,107,1.5233644859813084112149532710280373831775700934579439252336448598130841121495327,0.60370370370370370370370370370370370370370370370370370370370370370370370370370370
108,Hs,Hassium,277,169,108,1.5648148148148148148148148148148148148148148148148148148148148148148148148148148,0.61010830324909747292418772563176895306859205776173285198555956678700361010830325
109,Mt,Meitnerium,278,169,109,1.5504587155963302752293577981651376146788990825688073394495412844036697247706422,0.60791366906474820143884892086330935251798561151079136690647482014388489208633094
110,Ds,Darmstadtium,281,171,110,1.5545454545454545454545454545454545454545454545454545454545454545454545454545455,0.60854092526690391459074733096085409252669039145907473309608540925266903914590747
111,Rg,Roentgenium,282,171,111,1.5405405405405405405405405405405405405405405405405405405405405405405405405405405,0.60638297872340425531914893617021276595744680851063829787234042553191489361702128
112,Cn,Copernicium,285,173,112,1.5446428571428571428571428571428571428571428571428571428571428571428571428571429,0.60701754385964912280701754385964912280701754385964912280701754385964912280701754
113,Nh,Nihonium,286,173,113,1.5309734513274336283185840707964601769911504424778761061946902654867256637168142,0.60489510489510489510489510489510489510489510489510489510489510489510489510489510
114,Fl,Flerovium,289,175,114,1.5350877192982456140350877192982456140350877192982456140350877192982456140350877,0.60553633217993079584775086505190311418685121107266435986159169550173010380622837
